feature,gain
hist_month_diff_mean,227884.6655960083
hist_month_id_nunique,174568.50979614258
hist_category_1_mean,164398.2266998291
hist_ref_month_id,119333.15597025554
hist_installments_sum,93075.60073852539
new_month_lag_mean,87529.79735819499
new_clv,81621.30520121257
hist_month_diff_max,77984.37206776936
new_date_ptp_days,69860.07879130046
dec_count,66931.43014526367
new_category_1_mean,65470.963551839195
newlag2_purchase_amount_sum,62875.0792388916
hist_mid_svd4,58265.23493448893
new_hist_sum_ratio,57416.70188395182
x_purchase_amount_max_ratio,55737.09895324707
hist_authorized_flag_mean,51113.00540669759
hist_mid_svd6,46110.75478363037
hist_mid_svd7,45980.409744262695
newlag2_purchase_amount_mean,43639.46380106608
new_pt_max,42765.673975626625
x_duration_mean_ratio,42756.83368937174
hist_lag0_count,39906.87150065104
hist_pt_max,37607.6739654541
dec_purchase_amount_sum,37426.57867940267
dec_merchant_id_nunique,36763.10411071777
hist_hol_fathers_day_2017_mean,36207.059089660645
hist_recent3_sum_ratio,35690.8694636027
hist_to_new_gap_days,35268.79568990072
hist_cat2_0_mean,34303.85496520996
new_last_to_ref_days,31978.27240753174
new_pt_min,30471.439290364582
hist_recent3_count,29842.910751342773
new_purchase_amount_sum,29762.430272420246
hist_mcat_svd3,28794.53972371419
hist_month_lag_std,28706.58625284831
days_x_feature_2,28681.986974080402
hist_cat3_1_mean,27964.28400675456
hist_date_ptp_days,27814.440905253094
hist_lag-5_sum,27277.25332895915
hist_recent3_count_ratio,27197.98927307129
hist_month_diff_min,27163.969284057617
x_duration_mean_diff,26802.12363942464
hist_last_to_ref_days,26672.48358662923
hist_mcat_top1_share,26650.403645833332
hist_gap_std,26147.349906921387
hist_mcat_svd6,25880.968516031902
hist_count,25877.449358622234
hist_pt_min,25425.30967203776
hist_amount_month_ratio_min,24897.816782633465
hist_mid_svd2,24579.280014038086
new_hist_merchant_ratio,24107.573534647625
hist_monthsum_min,23796.932983398438
hist_hol_children_day_2017_mean,23692.734736124676
x_purchase_amount_std_ratio,23585.685180664062
hist_lag-4_sum,23462.172993977863
hist_gap_max,23430.03565979004
hist_lag-3_sum,22851.324111938477
hist_lag-5_count,22391.96723429362
hist_lag0_sum,22357.09376780192
hist_hour_std,22240.414611816406
hist_mcat_svd1,22224.49742126465
dec_purchase_amount_mean,22183.83602142334
hist_mcat_svd0,22149.404032389324
hist_month_diff_std,21983.44698079427
hist_mcat_entropy,21925.193756103516
hist_lag-6_count,21731.59361775716
hist_mid_svd0,21559.298950195312
hist_monthsum_slope,21537.173731486004
hist_hour_mean,21172.66103108724
hist_hol_valentine_2017_mean,21138.74633026123
hist_city_entropy,20678.80713399251
hist_mid_svd5,20554.284022013348
hist_dow_mean,20502.497314453125
hist_mcat_svd7,20502.178672790527
hist_mid_svd1,20460.0216700236
new_hist_mean_diff,20328.974044799805
hist_mer_avg_sales_lag3_mean,20092.156026204426
newlag1_purchase_amount_sum,20007.158882141113
hist_mcat_svd2,19931.59502919515
dec_month_lag_mean,19641.18359883626
new_hist_count_ratio,19515.990331013996
hist_recent3_sum,19401.09307861328
hist_duration_min,19130.81607055664
hist_merchant_id_nunique,19057.419342041016
hist_purchase_amount_min,18951.377960205078
x_count_per_month_ratio,18701.734924316406
hist_gap_median,18316.67004140218
hist_lag-2_sum,18070.344640096027
hist_hol_mothers_day_2017_mean,17937.750643412273
hist_count_per_month,17871.22040049235
hist_lag-6_sum,17794.223302205402
x_installments_mean_diff,17709.30467224121
hist_hol_christmas_2017_mean,17294.873575846355
x_purchase_amount_std_diff,17268.57793680827
x_month_diff_mean_diff,17178.515917460125
hist_weekend_mean,17163.326950073242
hist_hol_black_friday_2017_mean,17105.753697713215
hist_mcat_svd4,16975.735275268555
hist_cat2_1_mean,16820.370681762695
hist_duration_max,16646.17068227132
hist_first_buy_days,16603.75271097819
hist_mid_svd3,16505.52321879069
days_x_feature_1,16398.171427408855
new_duration_min,16361.060035705566
new_hour_mean,16145.828320821127
hist_city_top1_share,16093.23237101237
hist_duration_mean,15887.431663513184
x_purchase_amount_max_diff,15784.756332397461
new_hour_std,15603.103739420572
new_monthsum_max,15433.694524129232
hist_subsector_id_nunique,15120.331766764322
hist_purchase_amount_iqr,14797.687978108725
new_mer_avg_sales_lag12_mean,14760.856267293295
new_mer_avg_purchases_lag3_mean,14734.18300374349
hist_mer_most_recent_sales_range_mean,14710.270044962564
hist_mer_avg_purchases_lag3_mean,14571.0192972819
hist_mer_category_4_mean,14369.130971272787
new_month_lag_std,14111.170026143393
hist_lag-1_sum,14110.273981730143
hist_purchase_amount_q25,14103.043614705404
hist_installments_std,13996.314664204916
days_x_feature_3,13992.187957763672
x_count_per_month_diff,13893.036763509115
x_month_diff_mean_ratio,13795.462356567383
hist_amount_month_ratio_mean,13643.185643513998
newlag1_merchant_id_nunique,13363.166338602701
newlag1_purchase_amount_mean,13291.44199625651
new_amount_month_ratio_min,13198.915262858072
new_amount_month_ratio_max,12927.050318400064
hist_inst_share_2,12766.42366027832
hist_lag-4_count,12748.80965677897
hist_gap_mean,12605.478327433268
new_mer_avg_purchases_lag12_mean,12591.902404785156
hist_month_lag_mean,12435.270690917969
new_duration_mean,12432.572339375814
new_first_buy_days,12331.131276448568
new_duration_max,12306.480651855469
hist_mer_active_months_lag12_mean,12277.575642903646
hist_purchase_amount_median,12234.486628214518
x_installments_mean_ratio,12038.013768513998
hist_mcat_svd5,11908.023010253906
hist_inst_share_1,11764.297037760416
new_purchase_amount_min,11647.22797648112
hist_mer_numerical_1_mean,11625.082646687826
newlag1_purchase_amount_count,11551.113042195639
hist_price_mean,11294.997011820475
new_dow_mean,11187.063359578451
new_cat3_1_mean,11039.014409383139
hist_mer_most_recent_purchases_range_mean,11007.129722595215
new_cat2_0_mean,10979.430964152018
hist_clv,10784.87895711263
hist_installments_mean,10745.705693562826
