feature,gain
decx_month_diff_mean,185997.1172281901
hist_month_id_nunique,185503.27869415283
hist_category_1_mean,121334.99373372395
new_clv,85974.62601216634
m012_month_diff_mean,84310.55164591472
hist_month_diff_mean,79143.10084533691
new_month_lag_mean,79055.77718607585
new_hist_sum_ratio,74235.53872172038
new_date_ptp_days,71622.3933690389
hist_installments_sum,63984.10030619303
new_category_1_mean,53744.211613972984
newlag2_purchase_amount_mean,49983.25459289551
m0_pt_min,48895.24387613932
m012_pt_min,48791.41687520345
m01_category_1_mean,46436.41222127279
x_purchase_amount_max_ratio,43063.5284576416
newlag2_purchase_amount_sum,42491.08751678467
hist_mid_svd6,41731.465326944985
hist_mid_svd4,38593.363444010414
m01_pt_min,35852.10181681315
m0_category_1_mean,31732.738016764324
x_duration_mean_ratio,30500.918014526367
decx_merchant_ratio,30160.36116027832
hist_mid_svd7,29524.40495808919
new_pt_max,29077.082140604656
new_last_to_ref_days,28691.614674886066
m0_date_ptp_days,28004.49006144206
hist_date_ptp_days,27706.696370442707
x_duration_mean_diff,27510.166422526043
days_x_feature_2,24659.157791137695
dec_count,24165.877019246418
hist_to_new_gap_days,23563.138910929363
m012_repeat_per_merchant,22105.269337972004
decx_date_ptp_days,21214.314798990887
hist_mcat_svd1,21050.05776977539
m01_month_diff_mean,20938.84174601237
m012_date_ptp_days,20432.679293314617
hist_mcat_svd6,20431.60806274414
new_hist_merchant_ratio,20416.355422973633
hist_lag-4_sum,20017.3767674764
hist_lag-5_sum,20013.835558573406
decx_month_id_nunique,19941.220545450848
newlag1_purchase_amount_sum,19305.27441914876
hist_month_diff_max,19266.336491902668
m012_hour_mean,19131.569432576496
m012_merchant_ratio,19066.04659016927
hist_hol_fathers_day_2017_mean,18808.408681233723
decx_sum_ratio,18509.13597869873
hist_hol_children_day_2017_mean,18303.822687784832
hist_cat3_1_mean,18284.69144185384
hist_mid_svd5,18051.165654500324
hist_mcat_svd3,17548.373380025227
hist_cat2_0_mean,17468.731536865234
hist_recent3_count,17340.12757364909
m0_hour_std,17298.741419474285
decx_gap_std,17211.039006551106
x_purchase_amount_std_ratio,17082.447540283203
new_pt_min,16802.955276489258
new_duration_max,16794.36732228597
m01_hour_std,16770.265635172527
new_month_lag_std,16624.504313151043
hist_mcat_svd0,16583.197308858234
decx_repeat_per_merchant,16343.333468119303
hist_lag-5_count,16338.808720906576
m0_hour_mean,16244.022425333658
newlag1_purchase_amount_count,16235.988121032715
hist_mid_svd2,16202.02369181315
hist_recent3_sum_ratio,16126.8810450236
decx_pt_min,16056.705286661783
hist_hol_christmas_2017_mean,15850.748413085938
m012_month_lag_std,15642.649993896484
m012_month_lag_mean,15513.644963582357
hist_gap_std,15506.224253336588
m0_pt_max,15208.716267903646
m0_repeat_per_merchant,15168.157674153646
decx_hour_mean,15148.850896199545
hist_count,15127.668106079102
hist_lag0_count,15120.860148111979
m012_mean_vs_all,15004.135045369467
hist_mcat_svd2,14989.157343546549
hist_hol_valentine_2017_mean,14969.639012654623
decx_hour_std,14902.391316731771
hist_mcat_top1_share,14780.780314127604
hist_mid_svd1,14723.88663228353
new_hist_mean_diff,14711.887990315756
hist_count_per_month,14639.712682088217
hist_monthsum_slope,14478.72270711263
decx_month_lag_std,14462.621063232422
m0_merchant_ratio,14382.47933959961
m01_hour_mean,14378.643925984701
decx_count_per_month,14280.949345906576
hist_mid_svd0,14188.90626780192
hist_amount_month_ratio_min,14184.930013020834
hist_mcat_svd7,14113.468332926432
x_month_diff_mean_ratio,14040.811986287436
decx_purchase_amount_std,13922.55169169108
hist_pt_min,13897.20758565267
x_purchase_amount_max_diff,13883.23100789388
new_duration_min,13873.731796264648
m012_category_1_mean,13871.378056844076
hist_authorized_flag_mean,13722.196637471518
m01_merchant_ratio,13679.540720621744
x_month_diff_mean_diff,13671.464213053385
hist_month_lag_std,13649.138397216797
hist_city_top1_share,13587.241032918295
hist_month_diff_std,13578.477422078451
decx_purchase_amount_min,13373.656127929688
decx_count_ratio,13353.29465230306
